CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
2692209,0,28.0,Mobile Phone,New Michellemouth,10.0,Debit Card,Male,2.0,3,Mobile Phone,4,Married,5,0,13.0,3.0,4.0,6.0,148
8690442,0,0.0,Computer,Riceburgh,8.0,Debit Card,Female,3.0,4,Mobile,3,Single,2,1,13.0,4.0,3.0,,89
3538017,0,8.0,Mobile Phone,Johnsonview,12.0,CC,Male,3.0,3,Laptop & Accessory,2,Married,3,0,13.0,2.0,4.0,4.0,219
9316679,0,2.0,Phone,Anthonyburgh,21.0,Credit Card,Female,2.0,4,Fashion,3,Divorced,2,0,12.0,2.0,3.0,2.0,133
2010532,0,0.0,Computer,Martinezland,10.0,Debit Card,Male,,3,Mobile Phone,3,Married,2,0,17.0,0.0,2.0,2.0,85
7218778,0,0.0,Mobile Phone,Hodgefurt,28.0,Debit Card,Male,3.0,3,Laptop & Accessory,3,Divorced,6,0,12.0,2.0,6.0,2.0,172
6932194,0,,Computer,East Carriemouth,14.0,Credit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,6,0,16.0,0.0,3.0,4.0,74
4704626,0,,Mobile Phone,Port Thomasville,9.0,COD,Male,2.0,4,Mobile,5,Single,3,1,14.0,12.0,12.0,9.0,171
12361431,0,6.0,Mobile Phone,South Jessicahaven,,Debit Card,Female,2.0,4,Grocery,3,Divorced,4,1,22.0,6.0,14.0,3.0,271
9786572,0,0.0,Mobile Phone,Pricestad,12.0,Credit Card,Male,2.0,3,Laptop & Accessory,2,Divorced,3,1,20.0,7.0,3.0,9.0,141
3951345,0,30.0,Mobile Phone,Lucerohaven,7.0,E wallet,Male,3.0,1,Others,2,Married,3,0,13.0,6.0,13.0,,243
9478281,0,1.0,Computer,Floresburgh,15.0,CC,Female,3.0,4,Grocery,4,Single,2,1,12.0,0.0,2.0,7.0,233
4258837,0,,Computer,South Shaunside,26.0,Debit Card,Female,2.0,2,Laptop & Accessory,3,Divorced,5,0,19.0,2.0,8.0,6.0,116
16211814,0,9.0,Mobile Phone,Lake Connor,9.0,Credit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,4,1,12.0,13.0,13.0,,184
1841419,0,,Computer,East Lorrainehaven,15.0,Debit Card,Male,2.0,3,Mobile,3,Single,3,0,16.0,0.0,2.0,1.0,121
9281303,1,0.0,Phone,West Brandonland,14.0,Credit Card,Male,2.0,3,Laptop & Accessory,2,Single,4,1,17.0,2.0,2.0,2.0,142
11805603,0,10.0,Phone,Lake Terri,8.0,CC,Female,3.0,4,Mobile,4,Single,3,0,18.0,13.0,15.0,9.0,168
8373086,0,4.0,Computer,New Kristin,,Debit Card,Female,2.0,3,Mobile Phone,3,Divorced,2,0,13.0,0.0,7.0,2.0,104
8145337,0,0.0,Mobile Phone,Tinaside,21.0,Credit Card,Female,3.0,5,Mobile,3,Divorced,2,1,13.0,0.0,2.0,2.0,181
3533455,0,9.0,Computer,Delacruzside,26.0,Debit Card,Female,3.0,4,Fashion,3,Divorced,3,0,17.0,11.0,15.0,5.0,156
7747828,1,,Mobile Phone,East Robertaborough,23.0,CC,Male,,4,Laptop & Accessory,2,Divorced,6,0,12.0,0.0,2.0,3.0,211
13789660,0,,Computer,West Brendachester,32.0,CC,Female,,3,Fashion,3,Married,2,0,21.0,0.0,12.0,8.0,227
735375,0,3.0,Mobile Phone,Williamsmouth,25.0,Credit Card,Male,2.0,2,Laptop & Accessory,3,Married,6,1,13.0,0.0,2.0,,215
15227687,0,18.0,Phone,South Erin,18.0,Credit Card,Male,2.0,4,Mobile Phone,5,Married,3,0,15.0,1.0,14.0,3.0,197
3455738,0,10.0,Mobile Phone,Starkmouth,9.0,Debit Card,Female,3.0,3,Mobile,3,Single,2,0,16.0,0.0,5.0,7.0,131
719628,0,1.0,Mobile Phone,Frankhaven,6.0,UPI,Male,3.0,4,Laptop & Accessory,2,Married,3,0,13.0,0.0,2.0,3.0,122
16097677,0,0.0,Phone,New Jeffrey,8.0,CC,Male,,4,Fashion,3,Married,5,0,17.0,2.0,2.0,1.0,175
3317102,1,7.0,Phone,Wilkinsfurt,12.0,Credit Card,Male,2.0,3,Grocery,5,Single,9,0,21.0,1.0,12.0,7.0,284
15225604,0,,Computer,East Mark,14.0,Credit Card,Male,2.0,3,Grocery,5,Married,2,0,14.0,1.0,15.0,3.0,217
11047838,0,18.0,Mobile Phone,Edwinport,15.0,Debit Card,Male,2.0,4,Fashion,4,Single,5,0,17.0,2.0,3.0,1.0,182
4417471,1,0.0,Mobile Phone,Andrehaven,15.0,Credit Card,Male,2.0,5,Others,3,Divorced,5,0,19.0,0.0,15.0,10.0,170
16265212,0,19.0,Mobile Phone,Lake Julie,6.0,E wallet,Male,2.0,3,Mobile,5,Single,3,0,14.0,0.0,15.0,12.0,173
5649750,1,3.0,Phone,West Jonathan,11.0,Debit Card,Male,2.0,3,Laptop & Accessory,2,Divorced,3,0,12.0,0.0,12.0,4.0,117
5087902,1,4.0,Phone,Kennethview,16.0,Debit Card,Male,2.0,4,Grocery,4,Married,2,1,12.0,5.0,15.0,3.0,190
14515496,0,0.0,Computer,West Nancy,,Credit Card,Male,2.0,4,Mobile,2,Divorced,2,1,14.0,4.0,11.0,6.0,124
10047466,0,17.0,Mobile Phone,Port Elijah,15.0,CC,Male,3.0,5,Mobile,2,Divorced,5,0,15.0,2.0,5.0,17.0,208
14375082,0,1.0,Phone,North Kimberlyfurt,7.0,Debit Card,Male,3.0,4,Fashion,3,Single,3,0,16.0,0.0,15.0,12.0,228
4932911,0,0.0,Computer,West Christinaburgh,21.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,2,0,13.0,4.0,7.0,10.0,94
4409540,0,0.0,Phone,South Patricia,35.0,E wallet,Female,3.0,2,Laptop & Accessory,4,Single,3,0,18.0,1.0,12.0,4.0,185
5466741,0,0.0,Phone,North Marvinhaven,31.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,4,0,19.0,0.0,2.0,1.0,117
10945928,0,6.0,Mobile Phone,Tonyaberg,,COD,Female,2.0,3,Laptop & Accessory,2,Single,2,1,17.0,1.0,15.0,9.0,166
1196720,0,0.0,Phone,Flynntown,7.0,Debit Card,Male,2.0,3,Fashion,4,Divorced,5,0,14.0,0.0,3.0,2.0,193
16423131,0,3.0,Phone,Kristinatown,,Debit Card,Male,2.0,3,Fashion,3,Divorced,2,0,13.0,3.0,13.0,11.0,175
4318469,1,0.0,Phone,Ibarraland,18.0,Debit Card,Male,2.0,3,Mobile,3,Divorced,3,1,15.0,0.0,2.0,2.0,104
11354200,1,1.0,Computer,New Melissa,22.0,COD,Female,2.0,3,Laptop & Accessory,2,Single,2,0,12.0,11.0,14.0,2.0,153
941332,0,,Mobile Phone,Lake Bryanton,12.0,Debit Card,Male,2.0,3,Fashion,2,Single,2,0,12.0,1.0,15.0,4.0,195
2258080,0,0.0,Phone,South Cody,7.0,Debit Card,Female,3.0,4,Grocery,4,Single,2,0,12.0,3.0,15.0,3.0,181
15525894,0,8.0,Mobile Phone,Jacksontown,27.0,E wallet,Female,2.0,5,Others,4,Single,8,1,16.0,13.0,4.0,3.0,167
11256436,0,,Mobile Phone,Alexanderberg,7.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Divorced,3,0,21.0,2.0,13.0,11.0,154
12297250,0,1.0,Mobile Phone,Nicholastown,18.0,Credit Card,Female,2.0,4,Laptop & Accessory,2,Divorced,6,0,22.0,0.0,5.0,2.0,133
9268335,0,0.0,Phone,Robertfort,10.0,Debit Card,Male,2.0,5,Laptop & Accessory,2,Single,2,1,23.0,0.0,,11.0,160
1953916,0,,Mobile Phone,West Matthewland,15.0,Debit Card,Male,2.0,3,Mobile,3,Married,2,0,14.0,0.0,11.0,7.0,252
15968239,0,1.0,Phone,Huffmanside,8.0,Credit Card,Male,3.0,2,Mobile,2,Single,2,0,14.0,5.0,2.0,4.0,169
2621592,0,18.0,Phone,South Richard,28.0,E wallet,Male,,3,Grocery,3,Single,3,0,16.0,0.0,15.0,5.0,193
15669949,0,,Computer,North Jermaine,13.0,Debit Card,Male,2.0,3,Others,2,Single,3,0,15.0,3.0,2.0,1.0,105
13915270,0,12.0,Mobile Phone,Martintown,7.0,Debit Card,Male,2.0,1,Fashion,2,Single,3,1,14.0,1.0,15.0,14.0,300
3793511,0,1.0,Computer,West John,24.0,E wallet,Male,2.0,4,Mobile,3,Divorced,3,0,13.0,1.0,15.0,,190
10205358,1,5.0,Mobile Phone,South Ginamouth,6.0,E wallet,Male,2.0,4,Mobile,3,Single,2,0,14.0,9.0,14.0,4.0,185
7442015,0,1.0,Mobile Phone,Nicholashaven,23.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Single,5,1,13.0,0.0,4.0,4.0,173
13106339,0,,Mobile Phone,Andrewton,8.0,COD,Female,2.0,2,Laptop & Accessory,4,Divorced,2,0,20.0,1.0,11.0,2.0,136
8289563,0,2.0,Phone,Port Jasonchester,25.0,Credit Card,Male,,3,Fashion,2,Divorced,2,0,23.0,,14.0,5.0,167
12567371,0,0.0,Mobile Phone,Cathyburgh,25.0,Debit Card,Male,2.0,3,Mobile,5,Single,2,0,18.0,3.0,,8.0,175
10439027,0,,Computer,East Marcia,8.0,Credit Card,Female,2.0,2,Laptop & Accessory,4,Married,6,1,13.0,1.0,2.0,4.0,74
15436418,0,14.0,Phone,Howardburgh,22.0,CC,Male,1.0,2,Grocery,3,Single,2,0,21.0,,15.0,4.0,195
13758683,1,5.0,Computer,North Randytown,7.0,Debit Card,Female,2.0,3,Laptop & Accessory,4,Divorced,4,0,12.0,2.0,14.0,1.0,166
9592330,0,6.0,Phone,East Stephenmouth,32.0,Debit Card,Male,2.0,4,Others,2,Divorced,2,1,16.0,1.0,2.0,9.0,227
5278779,0,23.0,Mobile Phone,South Kevin,8.0,COD,Female,2.0,4,Others,3,Married,3,1,13.0,1.0,14.0,11.0,177
13491227,0,1.0,Phone,Wiseshire,31.0,CC,Male,2.0,3,Mobile,4,Married,2,0,15.0,1.0,12.0,1.0,114
4459452,1,0.0,Phone,Collinsland,24.0,Debit Card,Male,,3,Laptop & Accessory,2,Single,3,0,18.0,4.0,2.0,2.0,150
1784545,0,,Phone,South Mariabury,35.0,Credit Card,Female,3.0,3,Mobile,4,Divorced,5,0,18.0,0.0,8.0,3.0,109
11444641,0,0.0,Computer,Clinemouth,31.0,COD,Male,,3,Mobile Phone,4,Divorced,2,0,13.0,1.0,5.0,1.0,138
11597115,0,6.0,Phone,Shanemouth,21.0,Debit Card,Male,2.0,4,Fashion,3,Divorced,6,0,13.0,0.0,15.0,5.0,183
10160368,0,1.0,Computer,Kellyville,7.0,Credit Card,Male,,3,Laptop & Accessory,5,Divorced,3,0,15.0,0.0,,2.0,130
4652327,0,0.0,Mobile Phone,Pughland,6.0,CC,Male,2.0,4,Fashion,2,Divorced,3,0,15.0,1.0,3.0,1.0,175
8105616,0,0.0,Phone,New Matthew,32.0,Credit Card,Male,3.0,3,Mobile,3,Divorced,4,1,24.0,0.0,,7.0,135
910578,0,1.0,Computer,East Rebecca,8.0,Debit Card,Female,2.0,3,Grocery,2,Married,2,0,20.0,4.0,15.0,3.0,179
3564991,1,,Mobile Phone,Juliestad,6.0,Debit Card,Male,2.0,3,Fashion,4,Single,7,0,16.0,0.0,14.0,2.0,187
10251463,0,5.0,Computer,West Kimberlyhaven,8.0,Credit Card,Male,3.0,4,Fashion,2,Single,3,0,,2.0,15.0,3.0,181
4339534,1,2.0,Computer,Port Kathy,6.0,Debit Card,Female,,3,Mobile,3,Divorced,3,1,12.0,0.0,2.0,5.0,162
2379904,0,0.0,Computer,Lake Vincentfurt,15.0,Debit Card,Male,2.0,3,Mobile,2,Divorced,2,0,12.0,6.0,3.0,1.0,138
2920603,0,13.0,Computer,Jerrystad,22.0,Debit Card,Male,2.0,3,Fashion,2,Divorced,4,0,16.0,8.0,15.0,14.0,179
16723374,0,0.0,Mobile Phone,Fosterborough,12.0,Cash on Delivery,Female,2.0,3,Mobile,3,Divorced,3,1,12.0,2.0,2.0,1.0,105
15693051,0,0.0,Computer,Kylebury,30.0,Debit Card,Male,,4,Mobile,5,Married,2,0,15.0,0.0,2.0,4.0,147
4575333,0,0.0,Mobile Phone,East Larry,10.0,Debit Card,Male,2.0,4,Laptop & Accessory,4,Divorced,3,0,12.0,0.0,5.0,2.0,122
5880970,0,0.0,Mobile Phone,New Barbara,8.0,Debit Card,Male,,5,Mobile,5,Single,4,0,14.0,0.0,2.0,5.0,162
10815745,0,13.0,Computer,Margaretmouth,26.0,Credit Card,Female,2.0,4,Grocery,3,Divorced,2,0,13.0,0.0,2.0,5.0,135
7194849,0,5.0,Mobile Phone,Gregorychester,6.0,COD,Male,,4,Laptop & Accessory,5,Married,2,0,12.0,1.0,5.0,10.0,146
13816369,0,0.0,Computer,Lake Robinshire,10.0,E wallet,Male,2.0,2,Laptop & Accessory,3,Divorced,2,0,12.0,4.0,,7.0,157
9973540,0,,Computer,East Vanessaville,20.0,E wallet,Male,2.0,4,Mobile,5,Divorced,2,0,14.0,2.0,2.0,6.0,125
13567236,0,2.0,Phone,New Edwardberg,11.0,CC,Male,2.0,4,Laptop & Accessory,5,Single,4,0,12.0,6.0,15.0,9.0,152
10752561,1,,Mobile Phone,Port Linda,17.0,COD,Male,2.0,3,Others,2,Divorced,4,1,24.0,0.0,15.0,15.0,183
12837954,0,2.0,Phone,Lake Joshua,12.0,Debit Card,Female,3.0,3,Mobile Phone,2,Married,5,0,14.0,0.0,2.0,2.0,198
10558318,0,5.0,Phone,North Wanda,7.0,UPI,Female,2.0,5,Grocery,2,Married,2,1,,3.0,15.0,5.0,205
81566,0,25.0,Phone,East Jennifer,,Debit Card,Female,2.0,4,Laptop & Accessory,3,Married,3,1,19.0,11.0,,7.0,145
1067363,0,,Computer,Steelefort,17.0,Credit Card,Male,3.0,4,Mobile,3,Married,3,1,17.0,1.0,10.0,3.0,122
11835432,0,2.0,Mobile Phone,Reyesport,20.0,UPI,Male,2.0,3,Fashion,3,Single,2,1,14.0,,15.0,2.0,229
4894048,0,0.0,Computer,Brownfurt,25.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,4,0,13.0,11.0,4.0,4.0,170
6279589,0,4.0,Mobile Phone,Schneiderside,,COD,Female,3.0,3,Laptop & Accessory,3,Divorced,3,1,13.0,0.0,13.0,4.0,194
1777778,0,1.0,Phone,Glennmouth,12.0,Credit Card,Female,2.0,4,Mobile,2,Divorced,3,0,14.0,7.0,15.0,3.0,105
5718630,0,,Mobile Phone,Port Robertstad,23.0,Credit Card,Female,3.0,3,Fashion,5,Single,4,0,18.0,2.0,15.0,9.0,245
12147543,0,,Phone,Westbury,7.0,Credit Card,Female,2.0,4,Laptop & Accessory,3,Divorced,4,1,14.0,0.0,3.0,6.0,141
5956752,0,3.0,Computer,South Debbiemouth,10.0,Debit Card,Male,,4,Fashion,3,Married,3,0,12.0,0.0,15.0,5.0,268
14942038,0,8.0,Phone,Rickyburgh,35.0,COD,Male,3.0,3,Laptop & Accessory,4,Divorced,2,0,16.0,0.0,5.0,1.0,147
1121282,0,,Computer,Foxshire,9.0,CC,Male,3.0,3,Laptop & Accessory,3,Single,3,0,12.0,6.0,10.0,11.0,149
15945075,0,2.0,Mobile Phone,Romeromouth,23.0,Debit Card,Male,,3,Laptop & Accessory,5,Single,3,0,13.0,1.0,14.0,7.0,87
9433431,0,12.0,Mobile Phone,Brandonmouth,,UPI,Female,2.0,4,Mobile,3,Single,2,0,13.0,12.0,15.0,6.0,158
16427279,1,,Phone,East Robert,28.0,UPI,Male,3.0,3,Fashion,2,Divorced,5,0,14.0,3.0,2.0,3.0,167
15703277,0,1.0,Mobile Phone,Lake Jennifer,6.0,E wallet,Male,2.0,2,Fashion,4,Divorced,2,0,18.0,2.0,11.0,5.0,201
7078918,0,11.0,Computer,West Kaitlyn,34.0,Debit Card,Female,1.0,4,Mobile Phone,3,Single,2,0,15.0,1.0,2.0,6.0,165
10397374,0,8.0,Mobile Phone,Lake Carlville,6.0,Debit Card,Female,2.0,3,Mobile,5,Divorced,2,0,22.0,0.0,2.0,1.0,158
3775178,0,,Mobile Phone,Richardville,6.0,COD,Male,,2,Fashion,2,Married,2,0,20.0,9.0,15.0,9.0,239
5870884,0,0.0,Computer,New Tammyshire,16.0,Debit Card,Male,2.0,3,Mobile,5,Married,3,0,15.0,5.0,13.0,7.0,133
16226815,0,3.0,Mobile Phone,Lake Allison,13.0,Debit Card,Male,2.0,2,Mobile Phone,3,Divorced,3,0,21.0,0.0,,7.0,300
14762989,0,0.0,Phone,West Robin,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Single,3,0,12.0,0.0,2.0,1.0,106
4418243,0,,Computer,Randallmouth,6.0,Debit Card,Female,2.0,3,Fashion,3,Divorced,2,1,13.0,0.0,6.0,5.0,189
2773077,0,1.0,Phone,West Maryview,33.0,UPI,Male,2.0,3,Laptop & Accessory,3,Divorced,6,0,16.0,4.0,6.0,12.0,167
1340357,0,1.0,Mobile Phone,Lukebury,21.0,Credit Card,Male,3.0,3,Fashion,2,Divorced,4,0,13.0,13.0,15.0,6.0,191
12587976,0,2.0,Computer,East Laura,9.0,E wallet,Male,3.0,2,Mobile,2,Single,3,1,21.0,2.0,,7.0,153
3932795,0,3.0,Mobile Phone,Port Angela,11.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,6,0,15.0,0.0,5.0,4.0,207
9296602,0,6.0,Computer,Blackborough,25.0,Debit Card,Male,2.0,3,Laptop & Accessory,5,Married,2,0,15.0,2.0,5.0,6.0,146
3902938,0,1.0,Phone,Lake Robin,7.0,Credit Card,Male,,3,Laptop & Accessory,2,Single,6,0,18.0,0.0,2.0,3.0,104
15972630,0,4.0,Phone,Lake Charles,23.0,E wallet,Female,3.0,3,Others,4,Divorced,3,0,14.0,0.0,2.0,6.0,225
13321383,0,0.0,Phone,Roberttown,12.0,Cash on Delivery,Male,,3,Fashion,3,Married,8,0,17.0,0.0,2.0,5.0,209
200705,1,1.0,Phone,Lake Alison,7.0,UPI,Male,2.0,2,Laptop & Accessory,3,Divorced,2,0,13.0,1.0,4.0,9.0,173
13556808,1,0.0,Computer,West Josephshire,27.0,Cash on Delivery,Female,2.0,3,Laptop & Accessory,2,Single,8,0,19.0,0.0,2.0,3.0,97
3604611,0,1.0,Phone,Lake Jamesburgh,33.0,Debit Card,Female,2.0,3,Mobile,2,Single,6,1,13.0,2.0,3.0,2.0,203
770936,0,12.0,Phone,Michaelport,8.0,E wallet,Male,2.0,3,Others,4,Divorced,2,1,19.0,0.0,3.0,2.0,220
706524,0,0.0,Computer,Port Danielle,11.0,E wallet,Male,2.0,3,Laptop & Accessory,5,Single,2,0,14.0,,2.0,1.0,133
8980536,0,4.0,Mobile Phone,Lake Amandaton,6.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,4,0,16.0,1.0,2.0,4.0,199
5459484,0,,Phone,Blakeshire,6.0,COD,Male,2.0,4,Laptop & Accessory,2,Divorced,3,0,20.0,2.0,4.0,4.0,153
4349895,0,12.0,Mobile Phone,New Melissashire,24.0,Credit Card,Female,3.0,2,Laptop & Accessory,5,Divorced,5,0,,0.0,4.0,5.0,206
10483190,0,1.0,Computer,Lake Keithhaven,19.0,UPI,Female,,3,Grocery,2,Divorced,3,0,15.0,,11.0,12.0,204
5636294,0,0.0,Computer,New Gloria,26.0,Debit Card,Male,3.0,2,Fashion,4,Married,2,1,14.0,5.0,3.0,6.0,187
11609203,0,,Mobile Phone,East Roger,9.0,UPI,Male,3.0,3,Mobile,3,Single,4,0,20.0,3.0,2.0,1.0,197
4001040,0,5.0,Phone,Zunigahaven,12.0,Debit Card,Male,2.0,5,Fashion,3,Single,3,1,18.0,0.0,12.0,6.0,172
10551512,0,1.0,Phone,Lake Kennethview,32.0,CC,Male,3.0,3,Laptop & Accessory,3,Divorced,2,0,12.0,,6.0,8.0,185
14596682,0,3.0,Mobile Phone,Lake Bruce,6.0,Debit Card,Male,2.0,4,Mobile,4,Divorced,3,0,21.0,1.0,5.0,2.0,239
189773,0,,Phone,South Andrea,33.0,Debit Card,Female,,3,Fashion,5,Married,3,0,18.0,5.0,10.0,1.0,147
16223214,1,0.0,Phone,Johnstonburgh,15.0,E wallet,Female,2.0,3,Laptop & Accessory,4,Single,2,1,13.0,0.0,5.0,2.0,115
3962318,0,11.0,Phone,Christophermouth,16.0,Debit Card,Male,2.0,3,Laptop & Accessory,2,Single,2,0,13.0,0.0,13.0,8.0,179
12717260,0,6.0,Computer,South Jonhaven,15.0,UPI,Female,3.0,5,Others,5,Divorced,3,0,20.0,0.0,2.0,2.0,157
1692770,0,30.0,Mobile Phone,Johnsonfurt,8.0,Credit Card,Female,3.0,3,Fashion,3,Divorced,9,0,14.0,1.0,4.0,6.0,197
10799975,0,12.0,Mobile Phone,Meagantown,6.0,E wallet,Male,3.0,3,Laptop & Accessory,4,Married,8,0,16.0,0.0,7.0,10.0,177
3969735,0,1.0,Phone,West Jennamouth,17.0,Credit Card,Male,2.0,3,Others,4,Single,3,0,12.0,9.0,11.0,4.0,188
16580862,1,0.0,Mobile Phone,Tylerberg,6.0,E wallet,Male,3.0,3,Grocery,3,Single,2,0,13.0,3.0,13.0,8.0,254
3312247,1,0.0,Computer,South Duaneberg,,CC,Female,2.0,3,Laptop & Accessory,4,Divorced,13,0,20.0,0.0,2.0,1.0,142
12247150,0,1.0,Computer,Chelseaberg,15.0,UPI,Male,2.0,3,Mobile,5,Married,3,1,12.0,0.0,2.0,1.0,137
16287848,0,8.0,Computer,Douglasfort,33.0,CC,Male,3.0,3,Laptop & Accessory,2,Married,2,0,15.0,8.0,14.0,6.0,104
16348648,1,8.0,Computer,Clairefurt,6.0,CC,Male,3.0,4,Mobile,3,Single,3,1,17.0,0.0,7.0,3.0,210
1321291,0,0.0,Mobile Phone,West Lindaton,9.0,Debit Card,Female,2.0,3,Laptop & Accessory,2,Single,3,1,21.0,0.0,2.0,4.0,162
1476237,0,6.0,Mobile Phone,Zacharytown,20.0,CC,Female,2.0,3,Mobile,5,Married,2,0,18.0,3.0,15.0,7.0,140
15892425,0,7.0,Mobile Phone,Lake Richard,8.0,UPI,Male,2.0,3,Mobile Phone,4,Divorced,6,1,18.0,4.0,15.0,7.0,293
9459057,1,0.0,Mobile Phone,East Ashleyberg,,E wallet,Male,3.0,2,Mobile Phone,4,Single,2,0,17.0,3.0,2.0,,166
1569106,0,2.0,Mobile Phone,Haneychester,9.0,CC,Male,3.0,3,Laptop & Accessory,2,Single,4,1,19.0,4.0,2.0,3.0,142
1172581,0,4.0,Mobile Phone,Port Jasonstad,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,12.0,0.0,2.0,2.0,114
13215533,0,9.0,Mobile Phone,Brownton,14.0,COD,Female,2.0,5,Mobile,2,Single,5,0,16.0,0.0,8.0,1.0,142
7554357,0,0.0,Phone,Lake Danielview,21.0,Debit Card,Female,3.0,1,Fashion,5,Married,3,1,13.0,1.0,8.0,6.0,286
11780402,0,5.0,Mobile Phone,Nicoletown,27.0,CC,Female,,3,Laptop & Accessory,2,Divorced,3,0,20.0,0.0,5.0,10.0,113
2309418,0,0.0,Mobile Phone,Port Juanmouth,26.0,COD,Male,2.0,3,Laptop & Accessory,2,Single,4,0,14.0,0.0,2.0,1.0,104
966648,0,0.0,Computer,Port Faith,19.0,Credit Card,Male,3.0,4,Fashion,2,Married,2,1,13.0,2.0,2.0,2.0,121
14844554,0,0.0,Phone,Barajasside,7.0,Debit Card,Male,2.0,4,Grocery,4,Married,4,0,17.0,,6.0,2.0,197
15935444,0,28.0,Computer,New William,24.0,Debit Card,Female,2.0,3,Fashion,3,Married,8,0,,4.0,15.0,8.0,143
9639808,0,0.0,Mobile Phone,East Kimberlyland,30.0,Credit Card,Female,3.0,3,Laptop & Accessory,3,Married,3,1,12.0,4.0,2.0,4.0,171
15033267,0,0.0,Phone,Alexandermouth,8.0,CC,Female,3.0,3,Mobile Phone,2,Single,2,1,16.0,2.0,2.0,2.0,140
6830585,0,0.0,Mobile Phone,Sanderstown,,Cash on Delivery,Female,2.0,2,Fashion,2,Married,4,1,17.0,2.0,11.0,3.0,154
5415197,0,2.0,Phone,Port Alexandermouth,22.0,Debit Card,Male,2.0,3,Fashion,2,Single,4,0,15.0,0.0,2.0,2.0,176
14958239,0,0.0,Computer,Rodriguezhaven,34.0,Debit Card,Male,2.0,3,Grocery,4,Married,2,0,15.0,1.0,9.0,4.0,181
1416969,0,6.0,Phone,Gregorymouth,6.0,Debit Card,Female,2.0,3,Fashion,5,Divorced,3,0,15.0,1.0,6.0,6.0,216
11225549,0,0.0,Phone,South Keith,8.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,3,0,13.0,4.0,15.0,11.0,116
7583100,1,2.0,Phone,West David,17.0,Debit Card,Female,3.0,4,Mobile,2,Divorced,2,1,14.0,3.0,5.0,5.0,116
